EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
605, 46, 2646, 311, 20.8256561097758, 147, 126, Accidental, 171, 37206, 91474, 116133, 9.70144891484822, 11.9622297909886, 144.649526193515, 0.308023115172692, 15.28, 0.473815919488277, 793.170183833676, 646.508185971063, 0.327520355196847, 0.0111130494323127, 834.481588991023, 379.15, 34389353, 
606, 46, 2796, 55, 17.0367125936672, 155, 75, Accidental, 6, 2936, 48788, 63787, 12.5253471576017, 12.6178178693114, 147.02112576015, 0.551959114139693, 19.14, 0.500915266030728, 793.170183833528, 643.890396283365, 0.27008446976664, 0.062773781607258, 4150.61239782016, 117.7, 23875282, 
607, 46, 813, 959, 30.1476687027268, 205, 145, Lightning, 116, 27033, 52372, 60733, 9.8015097862285, 11.9133802366285, 145.745419986753, 0.174607872151524, 14.66, 0.469900333956743, 805.055204476199, 704.957542825956, 0.277631423332327, 0.00994803655676835, 560.948618355343, 336.32, 34925083, 
608, 46, 4545, 1084, 33.2366384846982, 219, 114, Lightning, 95, 24092, 22678, 25822, 8.79470589593664, 11.1102383202927, 158.924670532657, 0.239093437383255, 16.94, 0.482236953182625, 790.767219983382, 678.536745600302, 0.222508984569619, 0.00476126211275794, 329.561140627594, 437.07, 7875599, 
609, 46, 2607, 558, 37.4914248533476, 257, 108, Accidental, 17, 1366, 1010, 1294, 8.66101822540252, 12.948966598703, 111.780829654313, 0.0293040293040293, 16.55, 0.491202880395802, 793.170183833562, 637.53676496157, 0.331068712153514, 0.00333396837016957, 292.319912152269, 686.32, 336098, 
610, 46, 4395, 950, 43.4032630530934, 260, 96, Lightning, 14, 2063, 6381, 7764, 10.7206211130667, 10.5421012072234, 102.769178441697, 0.504364694471387, 16.62, 0.479292912686297, 775.380878559008, 741.572109287751, 0.215581096523432, 0.0148149298301426, 1006.14881240911, 551.45, 1885289, 
611, 46, 4853, 1019, 35.7827086590152, 266, 90, Accidental, 44, 19720, 7117, 7792, 8.163959565048, 9.96828832998908, 163.134906901645, 1.1197322379431, 16.78, 0.472815530484141, 798.78456160028, 670.612136509826, 0.239103375773893, 0.00182267323424248, 194.021095334686, 521.88, 3735150, 
612, 46, 2652, 342, 38.6510093472849, 269, 108, Accidental, 5, 824, 7089, 13412, 13.5870528853765, 15.7021657741903, 108.272409716772, 1.99270959902795, 20.61, 0.51827714276346, 793.170183833561, 633.595752191478, 0.274502697315031, 0.0391111219694024, 1778.42233009709, 178.99, 3993169, 
613, 46, 182, 1588, 60.3506321753694, 277, 122, Accidental, 41, 22486, 10344, 11985, 9.47169430278506, 11.2947402267216, 137.263862720272, 1.29775405826106, 15.4, 0.467661761825041, 807.073929853635, 705.949692189089, 0.322513353831636, 0.00254634336178651, 259.882815974384, 357.44, 5508666, 
614, 46, 558, 1498, 24.4716292944776, 304, 112, Lightning, 14, 9586, 2079, 2454, 11.0406379600208, 12.0935429491705, 90.9136964653146, 0.450704225352113, 12.77, 0.455725616628911, 807.073929853498, 703.425978734713, 0.322988662960463, 0.00187564468043459, 170.658981848529, 243.49, 1269485, 
615, 47, 4730, 950, 0.65611269520095, 4, 157, Lightning, 1, 6, 13, 13, 6.50398619541181, 7.69477965988214, 320.590651371613, 0, 0.66, 0.369282921238566, 795.048162662385, 743.802652940711, 0.208707507451375, 0.00774190194711292, 907.833333333333, 294.33, 5440, 
616, 47, 420, 821, 9.84451613960379, 91, 0, Rx, 1, 156, 357, 391, 8.33111176119368, 12.6380892385296, 220.088088939447, 0, 9.84, 1, 795.048162662384, 734.358655905939, 0.215634395281473, 0.0109977541130679, 1034.98717948718, 128.06, 160905, 
617, 47, 4829, 1087, 25.9492396938668, 107, 144, Accidental, 3, 2081, 264, 354, 10.783994029812, 13.5866420033821, 157.264560091005, 0.0432692307692308, 8.62, 0.433934677020146, 795.048162662409, 745.276015676087, 0.244126484984106, 0.000721296172812473, 61.7981739548294, 444.19, 91860, 
