Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
8, eco2, 2, 903912, -316.2, 1969.8, 14234.5, 481.7, 134.8, 72.5, 263.9, 0.26, 115.2, 3.2, 335.5, 234, 6348.1, 1153.3, 2617.1, 751.3, 39.1, 66.5, 35.4, 41, 581.9, 247.3, 824.1, 316.5, 7.1, 4.6, 15.6, 5.8, 6.7, 3.7, 0.2, 1.9, 0.2, 1.5, 5.1, 9.9, 15.5, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.5, -0.6, 0, 0.05, 0.57, 0.07, 4.2, 0, 1.1, 0.7, 71.7, 0, 0, 
8, eco3, 3, 540517, -508.5, 2117.6, 17320.8, 591.4, 166.9, 87.4, 322.6, 0.19, 156, 3.6, 415.8, 290.2, 7716.5, 1417.7, 2018.1, 677.6, 48.5, 81.8, 43, 49.9, 443.6, 251.4, 901.4, 521.2, 8.8, 5.8, 18.9, 7, 5.4, 3.3, 0.2, 2.3, 0.2, 1.8, 5.6, 11, 24, 61.4, 0.1, -0.2, 0.1, 0.3, 0.7, 0.6, -0.1, 0, 0.05, 0.93, 0.09, 19.4, 0.1, 1.6, 0.9, 106.8, 0, 0, 
9, eco1, 1, 457557, 100.3, 4281.7, 6932, 236, 66.1, 36, 114.9, 0.84, 256.9, 5.5, 172.7, 120.3, 3080.6, 554.9, 3449.7, 686.5, 21.9, 44.2, 26.6, 31.9, 753.9, 463.8, 1884.9, 1179.2, 3.5, 2.2, 7.9, 2.8, 8.8, 3.4, 0.1, 1.2, 0.1, 1.1, 4.9, 29.7, 51.2, 139, 0, -0.2, 0.1, 0.1, 0.7, 1.7, -1.7, 0.1, 0.05, 0.35, 0.11, 72.6, 0.6, 1.1, 0.3, 228.2, 0.01, 0, 
9, eco2, 2, 903912, -259.4, 2153.7, 13744.4, 467.8, 129.8, 73, 253.8, 0.31, 117, 3.6, 340, 236.9, 6115.1, 1111.9, 2742.4, 749.1, 38.8, 69, 36.9, 43.3, 643.8, 285.4, 907.9, 316.6, 7.2, 4.7, 15, 5.6, 7.1, 3.7, 0.2, 1.9, 0.2, 1.6, 5.6, 11.3, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.8, 0.6, -0.8, 0, 0.05, 0.48, 0.07, 35.8, 0.3, 1, 0.7, 73.8, 0, 0, 
9, eco3, 3, 540517, -498.6, 2274.5, 17665.7, 610.2, 170.5, 93.9, 330.9, 0.25, 159.5, 4, 445.1, 310.3, 7852.1, 1443.1, 2126.5, 686, 49.7, 87.5, 44.4, 52.4, 507.8, 288.4, 957, 521.2, 9.4, 6.2, 19.3, 7.1, 5.7, 3.3, 0.3, 2.4, 0.2, 1.9, 6.4, 12.2, 23.4, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.7, -0.2, 0, 0.05, 0.85, 0.09, 2.9, 0, 1.6, 0.9, 108.5, 0, 0, 
10, eco1, 1, 457557, 137.5, 4428.3, 6342, 219.7, 61.1, 36.8, 106.9, 0.92, 256.5, 5.8, 162.3, 113.2, 2809.9, 506.8, 3330.1, 661.5, 21.7, 44.2, 24.2, 30, 810.2, 503.8, 1935.1, 1179.2, 3.2, 2.1, 7.3, 2.6, 8.5, 3.3, 0.1, 1.2, 0.1, 1.1, 5.2, 32.3, 49.6, 139, 0, -0.2, 0, 0.1, 0.7, 1.9, -2, 0.1, 0.05, 0.48, 0.15, 17.9, 0.1, 1.1, 0.3, 229.5, 0.02, 0, 
10, eco2, 2, 903912, -208.2, 2335.7, 13275.8, 443, 122, 77.3, 245.9, 0.32, 118.5, 3.8, 335.6, 234.1, 5898.9, 1072.4, 2816.2, 742.6, 41.5, 73.3, 38.9, 45.9, 700.8, 322.8, 995.3, 316.8, 7, 4.6, 14.5, 5.4, 7.2, 3.6, 0.2, 2, 0.2, 1.7, 6.2, 12.7, 15.4, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.9, 0, 0.05, 0.67, 0.07, 30.6, 0.2, 1.1, 0.8, 76, 0.01, 0, 
10, eco3, 3, 540517, -423.5, 2444.7, 17248.2, 587.5, 161.8, 102.3, 328.5, 0.28, 161.4, 4.5, 445.4, 310.7, 7656.5, 1407, 2347, 697.7, 53, 93.5, 48.1, 57.2, 570.1, 328, 1025.3, 521.3, 9.4, 6.2, 18.8, 6.9, 6.2, 3.4, 0.3, 2.6, 0.2, 2.1, 7.1, 13.7, 22.9, 61.4, 0.1, -0.3, 0.1, 0.3, 1, 0.8, -0.4, 0, 0.05, 1.04, 0.11, 40.1, 0.3, 1.8, 1.1, 110.5, 0, 0, 
11, eco1, 1, 457557, 68.5, 4540.5, 6425.4, 242, 67.7, 37, 107.3, 0.91, 257.2, 5.4, 172.9, 120.6, 2843.8, 513.3, 3103.9, 633, 21.6, 44.6, 22, 27.8, 846.9, 536.4, 1977.9, 1179.3, 3.5, 2.2, 7.4, 2.6, 8, 3.1, 0.1, 1.2, 0.1, 1, 5.4, 34.5, 48.3, 139, 0, -0.2, 0, 0.1, 0.7, 1.9, -2, 0.1, 0.05, 0.59, 0.15, 3.1, 0, 1.1, 0.3, 230.5, 0.02, 0, 
11, eco2, 2, 903912, -253.2, 2504.9, 13283.6, 468.9, 130.7, 75.4, 246.8, 0.32, 120.9, 3.8, 349, 243.3, 5889.2, 1071.2, 2820.8, 733.3, 42.3, 76.4, 39.2, 46.7, 752.2, 357.3, 1078.3, 317, 7.3, 4.8, 14.5, 5.4, 7.2, 3.6, 0.2, 2.1, 0.2, 1.7, 6.7, 14.1, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.9, 0.7, -1, 0, 0.05, 0.81, 0.09, 11.2, 0.1, 1, 0.7, 78.1, 0, 0, 
