Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
6, eco3, 3, 540517, -568.4, 1883.1, 17173.2, 605.6, 172.1, 78.9, 316.4, 0.25, 151.5, 3.2, 390.6, 272.5, 7672.5, 1410, 1729.5, 649.5, 40.1, 66.1, 35.2, 40, 341.6, 193.4, 826.9, 521.2, 8.3, 5.4, 18.8, 6.9, 4.7, 3.2, 0.2, 1.9, 0.2, 1.5, 4.5, 9.2, 25.1, 61.5, 0.1, -0.2, 0.1, 0.2, 0.5, 0.5, 0.1, 0, 0.05, 0.91, 0.1, 9.6, 0.1, 1.4, 0.8, 104.2, 0, 0, 
7, eco1, 1, 457557, 48.9, 4114.6, 6982.4, 232.9, 66, 33.5, 113.2, 0.85, 255.2, 4.8, 163.8, 114.2, 3115.2, 559.2, 3360.5, 683.3, 18.9, 36.1, 20.7, 24.6, 695.3, 397.8, 1842.3, 1179.2, 3.3, 2.1, 8, 2.9, 8.6, 3.4, 0.1, 1, 0.1, 0.9, 4.2, 26.9, 53.8, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.4, -1.3, 0.1, 0.05, 0.46, 0.14, 9.8, 0.1, 1.1, 0.3, 226.9, 0.02, 0, 
7, eco2, 2, 903912, -395, 1807.8, 15596.8, 509.5, 144.7, 73.7, 287.1, 0.28, 116.3, 2.8, 363.5, 253.5, 6961, 1267.1, 2420.3, 751.5, 38.4, 64.3, 34.5, 39.3, 518.4, 217.8, 755.2, 316.4, 7.7, 5, 17, 6.3, 6.3, 3.7, 0.2, 1.8, 0.2, 1.5, 4.6, 8.9, 15.5, 37.3, 0.1, -0.2, 0, 0.2, 0.6, 0.4, -0.4, 0, 0.05, 0.58, 0.08, 3.4, 0, 1, 0.7, 70.3, 0, 0, 
7, eco3, 3, 540517, -530.9, 2010, 17579.1, 582.2, 166.2, 85.1, 318.3, 0.27, 155, 3.2, 424.5, 296.2, 7830, 1440.8, 1860.5, 665.6, 45.3, 75.8, 40, 45.8, 398.5, 226.1, 864.2, 521.2, 9, 5.9, 19.2, 7, 5, 3.3, 0.2, 2.1, 0.2, 1.7, 5.1, 10.2, 24.4, 61.4, 0.1, -0.2, 0.1, 0.3, 0.6, 0.5, 0, 0, 0.05, 0.95, 0.09, 0, 0, 1.4, 0.8, 105.7, 0, 0, 
8, eco1, 1, 457557, 93, 4249.9, 6726.9, 222.1, 61.9, 34.8, 109.2, 0.86, 255.2, 5.3, 165, 115, 2993.4, 537.5, 3176.2, 659, 19, 37.5, 19.8, 24.1, 752, 437.8, 1880.9, 1179.2, 3.4, 2.1, 7.7, 2.8, 8.1, 3.3, 0.1, 1, 0.1, 0.9, 4.5, 29.5, 52, 139.1, 0, -0.1, 0, 0.1, 0.6, 1.7, -1.7, 0.1, 0.05, 0.4, 0.12, 13.4, 0.1, 1.2, 0.3, 227.9, 0.02, 0, 
8, eco2, 2, 903912, -333.4, 1977.3, 15386.9, 489.9, 138, 77.3, 281, 0.27, 118.7, 3.2, 376, 262.1, 6851.5, 1247.9, 2534.2, 755.5, 40.9, 70.2, 37.6, 43.2, 579.6, 253.8, 827.3, 316.5, 7.9, 5.2, 16.8, 6.2, 6.6, 3.7, 0.2, 1.9, 0.2, 1.6, 5.3, 10.1, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.7, 0.5, -0.5, 0, 0.05, 0.55, 0.07, 20.1, 0.1, 1.1, 0.7, 72.2, 0, 0, 
8, eco3, 3, 540517, -473.9, 2150, 17886.5, 562.3, 158.9, 91.5, 321.8, 0.25, 158.1, 3.6, 447.2, 311.9, 7952.8, 1464.5, 1982.1, 677.7, 49.2, 84.1, 43.7, 50.5, 457.6, 260.7, 910.5, 521.2, 9.5, 6.2, 19.5, 7.1, 5.3, 3.3, 0.3, 2.3, 0.2, 1.9, 5.8, 11.3, 23.7, 61.4, 0.1, -0.3, 0.1, 0.3, 0.7, 0.6, -0.1, 0, 0.05, 0.95, 0.09, 0.7, 0, 1.6, 0.9, 107.2, 0, 0, 
9, eco1, 1, 457557, 84.1, 4359.5, 6444.6, 210.6, 58.9, 34.7, 105.2, 0.89, 255.1, 5.1, 162.9, 113.7, 2862.9, 514.5, 3054.4, 637.9, 19.9, 39.3, 20.2, 24.9, 790.8, 472.6, 1917, 1179.2, 3.3, 2.1, 7.4, 2.6, 7.8, 3.2, 0.1, 1, 0.1, 0.9, 4.7, 31.7, 50.4, 139, 0, -0.1, 0, 0.1, 0.6, 1.8, -1.7, 0.1, 0.05, 0.53, 0.14, 12.8, 0.1, 1.1, 0.3, 228.8, 0.02, 0, 
9, eco2, 2, 903912, -306.2, 2146, 15086.8, 479.9, 135.5, 79.1, 279.1, 0.27, 120.7, 3.4, 382, 266.5, 6707.1, 1223.3, 2650.9, 758.5, 43.3, 75.3, 40.5, 46.9, 636.2, 289.8, 903.4, 316.6, 8, 5.3, 16.4, 6.1, 6.8, 3.7, 0.2, 2.1, 0.2, 1.7, 5.9, 11.4, 15.3, 37.3, 0.1, -0.2, 0.1, 0.3, 0.7, 0.6, -0.6, 0, 0.05, 0.7, 0.07, 26.2, 0.2, 1.1, 0.7, 74.3, 0, 0, 
9, eco3, 3, 540517, -462.8, 2295.1, 18080.6, 566.5, 160.7, 95.8, 328.8, 0.25, 161, 3.8, 464.3, 324.1, 8030.1, 1480.6, 2124.1, 690.2, 53.1, 91.8, 47.5, 55.1, 515.3, 295.3, 963.3, 521.2, 9.8, 6.4, 19.7, 7.2, 5.7, 3.4, 0.3, 2.5, 0.2, 2, 6.5, 12.5, 23.2, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.6, -0.2, 0, 0.05, 1.05, 0.09, 5.5, 0, 1.6, 0.9, 108.9, 0, 0, 
10, eco1, 1, 457557, 67.9, 4460.8, 6171.5, 237.4, 66, 34.6, 106, 0.91, 255.2, 5.5, 164.3, 114.6, 2715.7, 488.2, 2929.5, 616.4, 19.6, 40.1, 20.1, 25.1, 820.4, 506.7, 1954.5, 1179.2, 3.3, 2.1, 7, 2.5, 7.5, 3.1, 0.1, 1.1, 0.1, 0.9, 4.9, 33.8, 48.9, 139, 0, -0.1, 0, 0.1, 0.7, 2, -1.9, 0.1, 0.05, 0.53, 0.13, 13.6, 0.1, 1.1, 0.3, 229.7, 0.02, 0, 
10, eco2, 2, 903912, -331.4, 2321.7, 14918.8, 522.1, 147.2, 80.9, 291.5, 0.27, 123.1, 3.7, 394.2, 275, 6611.1, 1206.8, 2747.9, 759, 44.1, 78.5, 41.8, 49, 691.7, 327.1, 986.1, 316.8, 8.3, 5.5, 16.2, 6, 7.1, 3.7, 0.2, 2.1, 0.2, 1.8, 6.4, 12.7, 15.3, 37.3, 0.1, -0.3, 0.1, 0.3, 0.8, 0.6, -0.8, 0, 0.05, 0.76, 0.08, 26, 0.2, 1.1, 0.8, 76.3, 0, 0, 
