Time,EcoName,NumActiveSites,AboveGroundBiomass_ArbuMenz,AboveGroundBiomass_Arctosta,AboveGroundBiomass_CaloDecu,AboveGroundBiomass_Ceanothu,AboveGroundBiomass_ChryChry,AboveGroundBiomass_Frangula,AboveGroundBiomass_Garrya,AboveGroundBiomass_GaulShal,AboveGroundBiomass_MahoNerv,AboveGroundBiomass_NothDens,AboveGroundBiomass_PinuJeff,AboveGroundBiomass_PinuLamb,AboveGroundBiomass_PinuMont,AboveGroundBiomass_PseuMenz,AboveGroundBiomass_Quercus,AboveGroundBiomass_Rhododen,AboveGroundBiomass_Rubus,AboveGroundBiomass_Vacciniu,AboveGroundBiomass_WhipMode,
20, eco2, 903912, 930.029960881148, 427.923865376276, 1145.72033118268, 58.0497039534822, 79.8916531697776, 4.94174101018683, 18.7700816008638, 2.44371575994123, 2.16107098921134, 742.244956367434, 791.289303604776, 543.645004159697, 296.531115860836, 8349.46799688465, 170.538049057873, 22.3466012178177, 2.65089079467913, 114.166411110816, 4.54649235766314, 
20, eco3, 540517, 1032.65900239955, 350.560520760679, 1830.21690159606, 77.2875561730713, 136.179685375298, 6.09519034553955, 35.5330544645219, 5.35631256741231, 3.46139344368447, 956.299922111608, 1298.96343500759, 722.38028221129, 512.053213867464, 12316.648173878, 195.0485350137, 24.9041158742463, 4.66903723657165, 85.5436961279664, 9.55681134913426, 
30, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, eco1, 457557, 258.461157844815, 369.299143057586, 920.187762399002, 43.1401333604338, 19.8238711242534, 0.833633842340954, 6.80809604049332, 0.302825658879659, 0.490249302272722, 212.958164775099, 682.237240387536, 198.90773389982, 28.3643043380388, 2348.35260962022, 60.911910428646, 0.879518835904598, 1.26662033364149, 12.8689103215556, 1.54069984723215, 
30, eco2, 903912, 980.855391896556, 389.654319225765, 1283.78751028861, 41.474222048164, 84.8327945640726, 4.49752077635876, 21.338612608307, 3.5289818035384, 2.87577883687793, 711.758571630867, 950.472987414704, 469.906826106966, 216.950549389764, 8199.04105709405, 143.368280319323, 16.1903481754861, 3.02705462478648, 79.5552598040517, 6.14564138986981, 
30, eco3, 540517, 1248.71956108689, 367.121084073211, 2336.89697456324, 53.7623553005733, 161.988572052313, 5.63775792435761, 40.997291482044, 8.41355221019875, 6.59753162250216, 1072.2470172076, 1642.38168457236, 707.6824133191, 423.501677098038, 13771.5517994809, 178.505591868526, 21.9066208833395, 3.39362869252956, 70.5135490650618, 13.2919704653138, 
40, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
40, eco1, 457557, 226.3430501555, 416.820494495768, 818.968639972725, 39.21806026353, 16.5787978328383, 0.941226994669517, 5.96374440780056, 0.302071654460537, 0.678988628739152, 178.150322254932, 648.921096169439, 148.568414427055, 18.9873480243991, 2044.81642068638, 73.2218696249866, 0.63015536862074, 2.20681357732479, 8.13843958239083, 1.49738065421357, 
40, eco2, 903912, 1090.85233075786, 519.66451933374, 1408.80728101851, 37.2012452539628, 94.0381497313898, 4.64363345104391, 24.1970059032295, 4.42581246847038, 3.95905906769686, 756.65674424059, 1071.28793068352, 409.15370854685, 167.737528653232, 8318.88398870687, 163.933885156962, 13.1288698457372, 3.99422067634903, 58.6576326014037, 7.1557098478613, 
40, eco3, 540517, 1586.8397589715, 420.557538430799, 2691.40742844351, 34.8806642529282, 194.967758645889, 6.08781777446408, 46.7662904219479, 10.9676494911353, 9.0780141975183, 1263.66305962625, 1884.66533337527, 639.550707933331, 345.688370578539, 14799.4402599733, 177.132499070335, 20.894702664301, 2.47822177655837, 59.1839276100474, 14.8372354616044, 
50, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, eco1, 457557, 208.553168239148, 425.422172538066, 736.649783524239, 41.5732203856569, 13.852405274097, 1.16339385038367, 5.57385200095289, 0.342171576437471, 0.808994289236095, 162.451980846102, 619.700262480959, 112.061771538847, 13.4778683311587, 1806.63014444102, 87.2040401523745, 0.531017993386616, 2.88101591714256, 5.77811944741311, 1.50810937216565, 
50, eco2, 903912, 1209.85768083619, 562.360827160166, 1517.48629401977, 38.3259808476931, 104.209518183186, 5.55426634451141, 27.2205203603891, 5.73586698705184, 5.57659595181832, 823.798991494747, 1171.29439702095, 360.151012487941, 133.385804149076, 8533.24065948898, 172.737008691112, 11.4059554469904, 5.31128030162228, 41.8735839329492, 8.47157577286285, 
50, eco3, 540517, 1781.80089062879, 320.089573500926, 2902.31520192704, 20.8562246885852, 216.195107646938, 6.83552783723731, 51.2560048990134, 13.872152032221, 11.2191882956503, 1419.3351457956, 2055.11442008299, 545.160152224629, 277.70518966101, 15490.0723899526, 138.202541270672, 21.8636805132864, 2.39601159630502, 49.3755201039005, 16.6830145952856, 
