   Loading spin-up weather data from file historical_climate.csv ...
   Converting raw data from text file: historical_climate.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2003, actualYearUsed=1959.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2003, actualYear = 1959, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2004, actualYearUsed=1960.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2004, actualYear = 1960, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2005, actualYearUsed=1986.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2005, actualYear = 1986, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2006, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2006, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2007, actualYearUsed=1954.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2007, actualYear = 1954, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2008, actualYearUsed=1959.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2008, actualYear = 1959, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2009, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2009, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2010, actualYearUsed=1966.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2010, actualYear = 1966, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2011, actualYearUsed=1951.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2011, actualYear = 1951, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2012, actualYearUsed=1987.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2012, actualYear = 1987, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2013, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2013, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2014, actualYearUsed=1963.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2014, actualYear = 1963, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2015, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2015, actualYear = 1973, phase = SpinUp_Climate.
