Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
6, eco3, 3, 540517, -524.5, 1841.8, 17237.6, 564.5, 160.4, 74.4, 306.4, 0.24, 150.5, 3.1, 366.1, 255.3, 7733.8, 1418.6, 1694.5, 650.4, 39, 64.5, 34.4, 39, 321.1, 184.7, 814.7, 521.3, 7.8, 5.1, 18.9, 7, 4.6, 3.2, 0.2, 1.9, 0.2, 1.4, 4.4, 8.8, 25.4, 61.5, 0.1, -0.2, 0, 0.2, 0.5, 0.5, 0.1, 0, 0.05, 0.49, 0.06, 12.5, 0.1, 1.4, 0.7, 104, 0, 0, 
7, eco1, 1, 457557, -50.8, 3960, 8809.6, 279.5, 79.7, 39.5, 142.9, 0.77, 258.7, 4.2, 192.8, 134.5, 3945.6, 707.4, 3495.2, 724.2, 25.9, 46.9, 30.3, 34.1, 609.5, 371.4, 1799.9, 1179.3, 3.9, 2.5, 10.1, 3.7, 9, 3.6, 0.1, 1.3, 0.2, 1.2, 4.3, 23.7, 55.3, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.1, -0.8, 0, 0.05, 0.27, 0.08, 54.9, 0.5, 1.1, 0.3, 226, 0.01, 0, 
7, eco2, 2, 903912, -344.9, 1782.3, 14949, 474, 134.8, 68.4, 272.3, 0.31, 114.7, 2.8, 333.7, 232.8, 6686.9, 1219.3, 2605.5, 766.3, 39, 64.1, 36.5, 40.8, 509.3, 210.4, 746.2, 316.4, 7, 4.6, 16.4, 6.1, 6.7, 3.8, 0.2, 1.8, 0.2, 1.5, 4.5, 8.5, 15.7, 37.3, 0.1, -0.2, 0.1, 0.2, 0.5, 0.4, -0.4, 0, 0.05, 0.34, 0.05, 24.6, 0.2, 0.9, 0.6, 70.1, 0, 0, 
7, eco3, 3, 540517, -497.5, 1970, 17064, 557.4, 158.3, 80, 306.3, 0.25, 153, 3.2, 388.2, 270.9, 7630.2, 1401.9, 1947.5, 672.2, 44, 73, 40, 45.4, 378, 217.9, 852.9, 521.2, 8.2, 5.4, 18.7, 6.9, 5.2, 3.3, 0.2, 2.1, 0.2, 1.7, 4.9, 9.9, 24.7, 61.4, 0.1, -0.2, 0.1, 0.2, 0.6, 0.5, 0, 0, 0.05, 0.55, 0.06, 26.6, 0.2, 1.4, 0.8, 105.4, 0, 0, 
8, eco1, 1, 457557, 36.3, 4118.4, 8310.2, 248.7, 70.4, 40, 134.5, 0.81, 258.6, 4.9, 189.7, 132.3, 3715.3, 668.1, 3431.2, 708.9, 25.6, 48.3, 28.2, 32.8, 685.9, 413.6, 1839.7, 1179.2, 3.8, 2.4, 9.5, 3.5, 8.8, 3.5, 0.1, 1.3, 0.1, 1.2, 4.7, 26.2, 53.5, 139, 0, -0.2, 0, 0.1, 0.6, 1.3, -1.2, 0.1, 0.05, 0.37, 0.1, 16.7, 0.1, 1.2, 0.3, 227.1, 0.01, 0, 
8, eco2, 2, 903912, -268.2, 1959.3, 14940.4, 441.5, 124.7, 72.7, 268.9, 0.3, 117.1, 3.2, 345.8, 241.3, 6674.3, 1217.9, 2632.4, 763.7, 41.1, 69.4, 37.9, 43, 576.7, 246.4, 819.8, 316.5, 7.2, 4.8, 16.3, 6.1, 6.8, 3.8, 0.2, 2, 0.2, 1.6, 5.2, 9.8, 15.6, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.5, -0.6, 0, 0.05, 0.45, 0.07, 8.7, 0.1, 1, 0.7, 72.1, 0, 0, 
8, eco3, 3, 540517, -408.1, 2116.9, 17325, 515.5, 145.2, 86.1, 308.1, 0.27, 155.8, 3.6, 406.1, 283.5, 7733.2, 1421.6, 2035.6, 680, 47.3, 80.1, 42.2, 48.7, 442.5, 253.2, 900, 521.2, 8.5, 5.6, 19, 7, 5.4, 3.3, 0.2, 2.2, 0.2, 1.8, 5.7, 11.1, 24, 61.4, 0.1, -0.3, 0.1, 0.3, 0.7, 0.6, -0.1, 0, 0.05, 0.75, 0.09, 0.2, 0, 1.6, 0.8, 106.9, 0, 0, 
9, eco1, 1, 457557, 17, 4258.6, 8207.1, 264.1, 75.1, 39.7, 137.2, 0.82, 259.1, 5, 196.3, 137, 3657.1, 659.1, 3285, 689.1, 24.8, 48.9, 26.1, 31.1, 747.1, 452.3, 1879.9, 1179.2, 3.9, 2.5, 9.4, 3.4, 8.4, 3.4, 0.1, 1.3, 0.1, 1.1, 5.1, 28.6, 51.9, 139, 0, -0.2, 0, 0.1, 0.6, 1.5, -1.3, 0.1, 0.05, 0.44, 0.12, 7.1, 0.1, 1.2, 0.3, 228.1, 0.01, 0, 
9, eco2, 2, 903912, -304, 2127.2, 15084.5, 472.8, 134.3, 74.3, 280.8, 0.29, 119.8, 3.3, 364.3, 254.2, 6718.1, 1227.1, 2651, 761.6, 42.8, 73.9, 39.1, 44.8, 635.7, 281.1, 893.8, 316.6, 7.6, 5.1, 16.4, 6.1, 6.9, 3.7, 0.2, 2, 0.2, 1.7, 5.8, 11, 15.4, 37.3, 0.1, -0.2, 0.1, 0.3, 0.7, 0.5, -0.7, 0, 0.05, 0.71, 0.08, 4.1, 0, 1, 0.7, 74, 0, 0, 
9, eco3, 3, 540517, -443.7, 2261.1, 17565, 546.3, 155.3, 87.6, 319.5, 0.26, 158.7, 3.6, 427.8, 298.7, 7819.4, 1439.3, 2157.9, 690.9, 50.4, 86.6, 45, 52.2, 501.7, 286.7, 951.4, 521.2, 9, 5.9, 19.2, 7, 5.7, 3.4, 0.3, 2.4, 0.2, 1.9, 6.3, 12.2, 23.5, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.6, -0.2, 0, 0.05, 1.16, 0.11, 3, 0, 1.6, 0.8, 108.4, 0, 0, 
