EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
15, 2, 4515, 1165, 17.203489322512, 302, 125, Lightning, 8, 6204, 89100, 136243, 13.435521657492, 14.2572856393542, 106.200853023216, 0.128969853296792, 12.12, 0.460437085750609, 698.676026529275, 608.70913225679, 0.218167229381245, 0.0118241437664496, 794.019342359768, 213.19, 109350083, 
16, 3, 4829, 1087, 4.31766532824362, 87, 127, Accidental, 2, 1715, 18389, 18865, 9.33577903387747, 10.6330427899369, 322.162922709466, 0.571761960326721, 4.49, 0.389725309796308, 731.730530826553, 604.679666997202, 0.237743567208158, 0.00955650249121212, 171.260058309038, 277.79, 26028048, 
17, 3, 2662, 491, 3.49578023125448, 110, 135, Accidental, 1, 84, 700, 1004, 6.19056858267793, 12.2279668156736, 90.1186009177279, 0, 3.5, 0.391941779400618, 731.667195303838, 590.624535989934, 0.32706946509225, 0.0148636219423235, 365.297619047619, 896.52, 688470, 
18, 3, 2933, 64, 14.9851905792312, 162, 118, Accidental, 141, 44485, 546285, 672049, 10.1867383578213, 11.8035820771435, 121.218948569703, 0.459940652818991, 18.47, 0.493691588386941, 731.667195304448, 598.177947811099, 0.272246036371315, 0.0124848310020023, 439.915139934809, 381.34, 589780853, 
19, 3, 316, 1477, 24.0808634009416, 184, 103, Lightning, 132, 35910, 364522, 450544, 10.2328572193356, 11.5768026098347, 112.742785596927, 0.773343729984127, 16.38, 0.478259160618866, 742.529237450268, 674.899325938304, 0.328885057172608, 0.00990597361895481, 428.092815371763, 351.98, 383604194, 
20, 3, 4518, 1130, 25.954792841764, 195, 125, Lightning, 108, 28534, 417180, 502442, 9.39061529978337, 11.3735477641617, 113.838979915737, 0.270213437072863, 17.71, 0.487755480377506, 728.633840993062, 617.67244161467, 0.221338316520107, 0.013528951460558, 532.504100371487, 411.59, 510809336, 
21, 3, 5016, 1143, 34.5804701870849, 211, 111, Accidental, 86, 21353, 162904, 198434, 9.95516330878088, 10.7468975234715, 119.655358414709, 0.994052079430498, 19.04, 0.490630711161289, 736.558751398178, 630.492985969748, 0.235970018527343, 0.00787752409763343, 243.471268674191, 475.75, 199440514, 
22, 3, 2601, 410, 22.3526264036832, 232, 138, Accidental, 76, 27255, 380491, 475992, 9.6170337080076, 11.9919515598484, 109.818940550623, 0.187495413517282, 15.39, 0.475167307201876, 731.667195303955, 600.180928144372, 0.328099100008291, 0.0145400048545036, 455.372005136672, 420.31, 377521965, 
23, 3, 1006, 1183, 25.6851469445834, 232, 117, Lightning, 83, 31901, 428065, 537245, 10.3792958803503, 11.5060386407678, 114.947275424864, 0.284639498432602, 15.7, 0.475106470477966, 742.436283075769, 686.588414481868, 0.387919815840568, 0.0136750680839204, 532.683050688066, 346, 451810808, 
24, 3, 2695, 27, 28.1047512357137, 250, 85, Accidental, 51, 17998, 245625, 297018, 10.0865244772423, 11.3970188848712, 94.8610807604113, 0.480635661499139, 16.97, 0.483160508399349, 731.667195303811, 597.892339010925, 0.312785409540998, 0.0138465253986906, 1319.27425269474, 354.95, 315291022, 
25, 3, 582, 949, 30.5328089564394, 253, 111, Lightning, 61, 25589, 352730, 457533, 10.6847137047879, 12.1780420270592, 109.747106242587, 0.175472877911521, 14.71, 0.471043249672621, 740.497671789053, 665.703378239874, 0.317171809765817, 0.0151503270486513, 633.409550978936, 321.13, 381173280, 
26, 4, 896, 921, 18.4477743436985, 165, 129, Lightning, 145, 27383, 288490, 378882, 10.2013572585763, 12.2568968166552, 113.440119009507, 0.188079760426558, 16.72, 0.485087364873166, 722.834102575184, 635.423258079771, 0.313742370831509, 0.0185901996769947, 506.155096227586, 360.3, 308457205, 
27, 4, 2972, 332, 18.3688379174694, 182, 143, Accidental, 122, 24696, 171149, 210910, 9.81813043047302, 11.9377193945655, 117.472523397543, 0.623608017817372, 19.22, 0.49889502803981, 718.97401884001, 569.264555799722, 0.280166317622676, 0.0125678269579955, 264.395772594752, 465.01, 189337407, 
28, 4, 1186, 1214, 39.342856210041, 184, 126, Lightning, 125, 26334, 263979, 338291, 10.5005170806352, 11.8617958334522, 112.724561038011, 0.341396726540842, 18.08, 0.492056557453684, 722.981951992646, 647.55406305427, 0.433204891967956, 0.0176624528035742, 382.854674565201, 373.26, 267529575, 
29, 4, 421, 798, 33.0694607320749, 185, 109, Lightning, 120, 21022, 259920, 330007, 9.57198358615894, 12.2408113798469, 121.647631728666, 0.135102992245849, 19.1, 0.502074799774634, 720.144254483315, 607.013840447765, 0.273793344768526, 0.0221089449933919, 632.641613547712, 392.39, 265943595, 
30, 4, 343, 1532, 36.2129138115469, 211, 125, Lightning, 98, 20281, 127381, 172706, 10.6942533596126, 12.5132089799786, 114.965529867715, 0.979783037475345, 16.85, 0.483283367636368, 722.981951992553, 633.537581651975, 0.319862485975626, 0.0122050398424876, 280.371924461318, 398.42, 131904709, 
31, 4, 435, 1064, 34.1261766539561, 223, 69, Lightning, 64, 9238, 118588, 140153, 8.64013341236032, 10.6396866209702, 139.534966875451, 0.329111183284616, 22.08, 0.515237316930854, 722.981951992305, 635.26990273033, 0.288317812525075, 0.0187652980243678, 439.719095042217, 512, 131540028, 
32, 4, 2731, 527, 24.9621131859388, 238, 134, Accidental, 66, 21293, 340343, 421510, 9.929910796231, 12.382399125913, 119.310506042211, 0.216513244411046, 17.84, 0.493156823284772, 718.974018840112, 600.945843429918, 0.29112494090094, 0.0231793261692413, 653.254637674353, 345.39, 350731961, 
33, 4, 2683, 213, 25.4892545437483, 260, 139, Accidental, 45, 17614, 199220, 244407, 10.7437873941284, 11.9067413533775, 122.530328055633, 0.717083972066088, 17.05, 0.484809899475576, 718.97401884011, 571.625553994894, 0.321211773027868, 0.0183103300048211, 521.412456000908, 444.18, 216942793, 
