Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
6, eco3, 3, 540517, -522.7, 1849.1, 17347.7, 562.7, 160.5, 72.5, 307.4, 0.26, 151, 3.1, 377.2, 263, 7777.6, 1428.1, 1678.5, 650.1, 38.8, 64.5, 34.3, 38.8, 325.4, 188.9, 813.7, 521.2, 8, 5.2, 19, 7, 4.6, 3.2, 0.2, 1.9, 0.2, 1.4, 4.4, 9, 25.2, 61.5, 0.1, -0.2, 0, 0.2, 0.5, 0.5, 0.1, 0, 0.05, 0.41, 0.05, 0.1, 0, 1.4, 0.7, 104, 0, 0, 
7, eco1, 1, 457557, -34.5, 3980.1, 9571.2, 336.9, 95.4, 43.4, 161.3, 0.74, 259.4, 5.5, 214.6, 149.5, 4281.4, 766.5, 3295.9, 712.9, 22.5, 43.9, 24.9, 29.3, 624.1, 393.7, 1783.1, 1179.2, 4.4, 2.7, 10.9, 4, 8.4, 3.6, 0.1, 1.2, 0.1, 1, 4.5, 24.8, 53.9, 139, 0, -0.2, 0, 0.1, 0.6, 1.5, -1.1, 0.1, 0.05, 0.65, 0.13, 25.9, 0.2, 1.5, 0.4, 225.4, 0.01, 0, 
7, eco2, 2, 903912, -348.6, 1862.4, 15134.8, 531.4, 150.6, 71.4, 285.5, 0.3, 115.5, 3.5, 352.9, 246, 6757.6, 1231.3, 2538, 750.7, 33.4, 58.8, 31.4, 36, 542, 226.4, 777.7, 316.4, 7.4, 4.9, 16.6, 6.2, 6.6, 3.7, 0.2, 1.7, 0.2, 1.3, 4.7, 9.1, 15.5, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.5, -0.5, 0, 0.05, 0.73, 0.09, 10.4, 0.1, 1.2, 0.7, 70.2, 0, 0, 
7, eco3, 3, 540517, -570.2, 1996.8, 17843.2, 649, 184.1, 85, 337.6, 0.27, 154.7, 3.9, 422.4, 294.6, 7959.3, 1463.4, 1789.9, 659.2, 39.5, 69.5, 35.6, 41.2, 391.5, 227.8, 856.3, 521.2, 9, 5.8, 19.5, 7.1, 4.8, 3.2, 0.2, 2, 0.2, 1.5, 5.1, 10.2, 24.2, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.7, 0, 0, 0.04, 1.19, 0.11, 0.2, 0, 1.8, 0.8, 105.2, 0, 0, 
8, eco1, 1, 457557, -28.2, 4143.6, 9082.6, 335.8, 95, 45.4, 157.2, 0.73, 259.5, 5.6, 220.8, 153.9, 4045.9, 726.4, 3252.3, 695.3, 23.5, 45.6, 24.9, 29.6, 698.7, 438.4, 1827.3, 1179.1, 4.5, 2.8, 10.3, 3.7, 8.3, 3.5, 0.1, 1.2, 0.1, 1.1, 4.8, 27.4, 51.8, 139, 0, -0.2, 0, 0.1, 0.7, 1.7, -1.3, 0.1, 0.05, 0.94, 0.16, 26.7, 0.2, 1.6, 0.4, 226.3, 0.01, 0, 
8, eco2, 2, 903912, -349, 2041.9, 14917.5, 526.3, 149.2, 76.1, 286.4, 0.25, 117.9, 3.4, 371.6, 259.1, 6637.5, 1211.1, 2642.5, 751.4, 37.3, 64.4, 35, 40.1, 604, 263.8, 857.5, 316.5, 7.8, 5.1, 16.3, 6, 6.8, 3.7, 0.2, 1.8, 0.2, 1.5, 5.2, 10.4, 15.3, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.6, -0.6, 0, 0.05, 1, 0.09, 31.2, 0.2, 1.2, 0.7, 72.1, 0, 0, 
8, eco3, 3, 540517, -575.4, 2134.3, 18259.6, 645.3, 183.6, 93.2, 349.4, 0.21, 158.4, 3.7, 459.2, 320.4, 8117.5, 1494.7, 1933.7, 673.5, 46.2, 79, 40.9, 47.3, 449, 262.5, 901.6, 521.2, 9.7, 6.4, 19.9, 7.3, 5.2, 3.3, 0.2, 2.2, 0.2, 1.7, 5.8, 11.3, 23.5, 61.4, 0.1, -0.2, 0.1, 0.3, 0.8, 0.6, -0.1, 0, 0.04, 1.55, 0.12, 2.7, 0, 1.7, 0.9, 106.6, 0, 0, 
9, eco1, 1, 457557, -0.6, 4278.3, 8362.6, 278.8, 79, 44.4, 140.9, 0.79, 259.1, 5, 210.8, 147.2, 3719.6, 669.5, 3282.3, 684.6, 25.8, 49.2, 27.4, 32.3, 753.4, 475.3, 1870.4, 1179.1, 4.2, 2.7, 9.5, 3.4, 8.4, 3.4, 0.1, 1.3, 0.1, 1.1, 5.1, 29.5, 50.3, 139, 0, -0.2, 0, 0.1, 0.6, 1.5, -1.3, 0.1, 0.05, 0.28, 0.08, 27.2, 0.2, 1.3, 0.4, 227.4, 0.01, 0, 
9, eco2, 2, 903912, -290.5, 2213.6, 14449.1, 477.8, 135.9, 76.7, 269.5, 0.26, 119.6, 3.4, 373.4, 260.6, 6416.2, 1172.9, 2785.8, 754.4, 41.5, 70.8, 39.5, 45.1, 659.6, 299.5, 937.8, 316.7, 7.8, 5.1, 15.8, 5.8, 7.2, 3.7, 0.2, 1.9, 0.2, 1.7, 5.7, 11.6, 15.3, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.6, -0.7, 0, 0.05, 0.4, 0.05, 34.8, 0.2, 1.1, 0.7, 74.2, 0, 0, 
9, eco3, 3, 540517, -517.2, 2282.3, 18374.9, 615.5, 175.2, 99.1, 343.7, 0.19, 161.4, 3.9, 479.9, 335, 8155.4, 1504.5, 2116.4, 688, 52.2, 88.5, 46.5, 53.7, 507.1, 297.5, 956.5, 521.2, 10.1, 6.6, 20, 7.3, 5.6, 3.3, 0.3, 2.4, 0.2, 2, 6.4, 12.5, 23, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.7, -0.2, 0, 0.05, 0.64, 0.06, 11.7, 0.1, 1.7, 0.9, 108.3, 0, 0, 
