Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
6, eco3, 3, 540517, -547.1, 1911.8, 16721.3, 592.7, 168.3, 77.2, 307.5, 0.25, 150.6, 3.2, 381.6, 266.2, 7469.1, 1372.9, 1780.7, 646.2, 39.1, 64.7, 34.4, 39.1, 356.6, 194.6, 839.3, 521.2, 8.1, 5.3, 18.3, 6.7, 4.8, 3.2, 0.2, 1.9, 0.2, 1.4, 4.5, 9.2, 25.1, 61.5, 0.1, -0.2, 0, 0.2, 0.6, 0.5, 0.1, 0, 0.05, 0.92, 0.1, 4.3, 0, 1.4, 0.8, 104.2, 0, 0, 
7, eco1, 1, 457557, -0.4, 4050.8, 8236.3, 266.6, 75.8, 38.5, 134, 0.8, 257.4, 4.7, 190.3, 132.7, 3678.1, 659, 3320.6, 695.3, 21.9, 41.3, 24.6, 28.7, 657.2, 394.2, 1820.2, 1179.2, 3.9, 2.4, 9.4, 3.4, 8.5, 3.5, 0.1, 1.1, 0.1, 1, 4.3, 25.7, 54, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.3, -1.1, 0.1, 0.05, 0.45, 0.13, 23.5, 0.2, 1.2, 0.3, 226.3, 0.01, 0, 
7, eco2, 2, 903912, -331.5, 1860.1, 14394.7, 475.4, 135.1, 68.6, 263.8, 0.31, 114.3, 2.9, 338.7, 236.2, 6420.4, 1170.4, 2630.1, 755.4, 36.1, 61, 33.9, 38.6, 541.7, 223.2, 778.8, 316.4, 7.1, 4.7, 15.8, 5.9, 6.8, 3.7, 0.2, 1.7, 0.2, 1.4, 4.6, 9.1, 15.6, 37.3, 0.1, -0.2, 0.1, 0.2, 0.6, 0.4, -0.5, 0, 0.05, 0.6, 0.09, 13, 0.1, 0.9, 0.6, 70.4, 0, 0, 
7, eco3, 3, 540517, -510.5, 2038.6, 17103.2, 569, 162.4, 83.1, 309.2, 0.27, 154, 3.2, 414.2, 289.1, 7616.6, 1401.8, 1902.8, 661.1, 44.3, 74.1, 39, 44.8, 412.7, 227.1, 877.5, 521.2, 8.8, 5.7, 18.7, 6.8, 5.1, 3.2, 0.2, 2.1, 0.2, 1.7, 5.1, 10.3, 24.4, 61.4, 0.1, -0.2, 0.1, 0.2, 0.6, 0.5, 0, 0, 0.05, 0.96, 0.1, 0.8, 0, 1.4, 0.8, 105.7, 0, 0, 
8, eco1, 1, 457557, 39.7, 4191.4, 8107.9, 257.5, 72.2, 40.6, 131.8, 0.79, 257.7, 5.2, 195, 135.9, 3612.9, 647.9, 3149.5, 673.1, 22.3, 43.3, 23.2, 27.9, 719.1, 435.2, 1858, 1179.2, 4, 2.5, 9.2, 3.4, 8.1, 3.4, 0.1, 1.2, 0.1, 1, 4.7, 28.2, 52.1, 139, 0, -0.2, 0, 0.1, 0.6, 1.6, -1.4, 0.1, 0.05, 0.39, 0.11, 9.5, 0.1, 1.4, 0.3, 227.2, 0.01, 0, 
8, eco2, 2, 903912, -291.1, 2035, 14487.6, 465, 131.1, 73.3, 263.4, 0.28, 116.9, 3.2, 356.2, 248.3, 6448.5, 1176.3, 2636.4, 750.7, 38.7, 66.7, 35.6, 41.1, 606.1, 258.7, 853.7, 316.5, 7.5, 4.9, 15.8, 5.9, 6.8, 3.7, 0.2, 1.8, 0.2, 1.5, 5.2, 10.3, 15.5, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.5, -0.6, 0, 0.05, 0.57, 0.08, 5.9, 0, 1, 0.7, 72.3, 0, 0, 
8, eco3, 3, 540517, -455.5, 2177.4, 17413, 549.8, 155.3, 89.5, 312.9, 0.25, 157.1, 3.6, 436.4, 304.5, 7741, 1425.6, 2010.2, 671.9, 48.1, 82.2, 42.6, 49.4, 470.5, 261.5, 924.2, 521.2, 9.2, 6, 19, 6.9, 5.4, 3.3, 0.2, 2.3, 0.2, 1.8, 5.8, 11.4, 23.8, 61.4, 0.1, -0.2, 0.1, 0.3, 0.7, 0.6, -0.1, 0, 0.05, 0.96, 0.09, 0.8, 0, 1.6, 0.8, 107.2, 0, 0, 
9, eco1, 1, 457557, 49.4, 4308.9, 7590.4, 237, 66.8, 39.2, 123.8, 0.83, 257.3, 5.1, 187.2, 130.6, 3377.2, 606.8, 3116.8, 657.9, 22.8, 44.6, 24.1, 29.1, 762.7, 471.6, 1895.4, 1179.2, 3.8, 2.4, 8.6, 3.1, 8, 3.3, 0.1, 1.2, 0.1, 1, 4.9, 30.4, 50.5, 139, 0, -0.2, 0, 0.1, 0.6, 1.7, -1.5, 0.1, 0.05, 0.52, 0.13, 25.6, 0.2, 1.2, 0.3, 228.1, 0.01, 0, 
9, eco2, 2, 903912, -237, 2208.1, 13706.7, 440, 124.4, 72.2, 252.3, 0.3, 118, 3.4, 349.8, 244.1, 6090, 1112.9, 2822.6, 754.7, 40.1, 70.2, 39, 45.1, 661.2, 295.3, 934.9, 316.7, 7.3, 4.8, 15, 5.5, 7.3, 3.7, 0.2, 1.9, 0.2, 1.7, 5.7, 11.7, 15.4, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.6, -0.8, 0, 0.05, 0.72, 0.08, 48.6, 0.3, 1, 0.7, 74.3, 0, 0, 
9, eco3, 3, 540517, -433.2, 2321.5, 17411.6, 547.5, 155.3, 92.5, 315.7, 0.25, 159.5, 3.8, 448, 312.8, 7731.8, 1425.9, 2180.8, 685, 51.5, 89, 46.6, 54.2, 525.7, 296.3, 978.3, 521.3, 9.4, 6.2, 19, 6.9, 5.8, 3.3, 0.3, 2.4, 0.2, 2, 6.4, 12.6, 23.3, 61.4, 0.1, -0.3, 0.1, 0.3, 0.8, 0.7, -0.2, 0, 0.05, 1.05, 0.09, 17.9, 0.1, 1.6, 0.9, 108.8, 0, 0, 
