Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
6, eco3, 3, 540517, -526.9, 1812.3, 16883.5, 543.8, 154.5, 72.8, 295.8, 0.21, 148.8, 2.7, 348.8, 243.4, 7578.7, 1390.2, 1619.2, 643.6, 40, 63.7, 33.9, 38.2, 309.8, 173.3, 808, 521.3, 7.4, 4.8, 18.6, 6.8, 4.4, 3.2, 0.2, 1.9, 0.2, 1.4, 4.1, 8.5, 25.6, 61.5, 0.1, -0.2, 0, 0.2, 0.4, 0.4, 0.2, 0, 0.05, 0.56, 0.07, 0.8, 0, 1.2, 0.7, 103.6, 0, 0, 
7, eco1, 1, 457557, -148.8, 3850.1, 11582, 369.4, 104.8, 49.5, 190.3, 0.64, 263.3, 4.6, 245.9, 171.4, 5192.7, 927.5, 3304.1, 742.4, 29.7, 53.8, 31.3, 35.3, 559.5, 357.4, 1754, 1179.3, 5, 3.1, 13.2, 4.9, 8.5, 3.7, 0.2, 1.5, 0.2, 1.3, 4.6, 22, 55.7, 139.1, 0, -0.2, 0, 0.1, 0.5, 1.1, -0.5, 0.1, 0.05, 0.33, 0.1, 30.5, 0.2, 1.6, 0.4, 225, 0.01, 0, 
7, eco2, 2, 903912, -316.4, 1749.6, 14163.8, 463.5, 131.3, 64, 254.9, 0.33, 113.1, 2.8, 314.6, 219.3, 6335.2, 1152.2, 2875.6, 787.2, 37.4, 62, 37.1, 41.5, 500.3, 203.8, 729.1, 316.3, 6.6, 4.3, 15.5, 5.8, 7.4, 3.9, 0.2, 1.8, 0.2, 1.6, 4.3, 8.1, 15.8, 37.3, 0.1, -0.2, 0.1, 0.2, 0.5, 0.4, -0.3, 0, 0.05, 0.42, 0.07, 50.1, 0.3, 0.9, 0.6, 69.6, 0.01, 0, 
7, eco3, 3, 540517, -537.3, 1927.3, 17296.7, 570.2, 161.9, 78.1, 308, 0.22, 152.4, 2.9, 387.1, 270, 7735.4, 1420.3, 1761.6, 661.4, 44.5, 72.9, 38.5, 43.8, 362.9, 204.3, 838.9, 521.2, 8.2, 5.4, 18.9, 6.9, 4.8, 3.2, 0.2, 2.1, 0.2, 1.6, 4.7, 9.5, 24.9, 61.4, 0.1, -0.2, 0, 0.2, 0.5, 0.5, 0.1, 0, 0.05, 0.66, 0.07, 0.1, 0, 1.3, 0.7, 104.9, 0, 0, 
8, eco1, 1, 457557, -70.7, 4021.5, 10564.8, 338.7, 95.3, 51.4, 176.4, 0.68, 262.8, 5, 237.8, 165.8, 4724.1, 846.1, 3430.9, 739.5, 30.4, 56.3, 32.4, 37.3, 642.5, 403.4, 1796.4, 1179.2, 4.8, 3, 12, 4.4, 8.8, 3.7, 0.2, 1.5, 0.2, 1.3, 5, 24.4, 53.7, 139, 0.1, -0.2, 0.1, 0.1, 0.6, 1.3, -0.8, 0.1, 0.05, 0.36, 0.12, 46.2, 0.4, 1.5, 0.4, 226, 0.01, 0, 
8, eco2, 2, 903912, -259.9, 1956.9, 14037.7, 458.8, 128, 72.3, 257.3, 0.31, 115.4, 3.3, 328.1, 228.8, 6264.8, 1139.8, 2886.7, 780, 39.5, 67.3, 37.2, 42.7, 584.8, 242.6, 813.1, 316.4, 6.9, 4.5, 15.4, 5.7, 7.4, 3.8, 0.2, 1.9, 0.2, 1.6, 5, 9.5, 15.6, 37.3, 0.1, -0.2, 0.1, 0.2, 0.7, 0.5, -0.6, 0, 0.05, 0.49, 0.07, 13.3, 0.1, 1.1, 0.7, 71.6, 0.01, 0, 
8, eco3, 3, 540517, -499.2, 2070.6, 17674.1, 589.4, 163.7, 92.5, 327.9, 0.23, 155.8, 3.8, 414.8, 289.3, 7888.2, 1447.9, 1874.7, 671.1, 47.9, 81.2, 41.5, 48.2, 424.9, 241.3, 883.1, 521.2, 8.8, 5.8, 19.3, 7.1, 5, 3.3, 0.2, 2.3, 0.2, 1.8, 5.5, 10.7, 24.1, 61.4, 0.1, -0.3, 0.1, 0.3, 0.7, 0.6, 0, 0, 0.05, 0.76, 0.09, 0, 0, 1.7, 0.9, 106.5, 0, 0, 
9, eco1, 1, 457557, -53.4, 4169.3, 9906.8, 297, 84.4, 47.4, 162.1, 0.7, 262.7, 4.5, 232.9, 162.5, 4419.9, 794.1, 3495.2, 734.1, 31.1, 58.9, 33.2, 38.4, 710, 441.6, 1838.5, 1179.2, 4.7, 3, 11.3, 4.1, 8.9, 3.7, 0.2, 1.6, 0.2, 1.4, 5.3, 26.5, 52.2, 139, 0, -0.2, 0, 0.1, 0.6, 1.2, -0.9, 0, 0.05, 0.49, 0.13, 25.8, 0.2, 1.3, 0.4, 227.1, 0.01, 0, 
9, eco2, 2, 903912, -282.4, 2124.3, 14005.8, 440.5, 124.4, 70.1, 251.7, 0.29, 117.8, 2.9, 341.9, 238.4, 6236.4, 1135.9, 2930.6, 779.8, 42.8, 73.3, 39.7, 45.7, 647.8, 274.7, 885.3, 316.6, 7.2, 4.7, 15.3, 5.7, 7.5, 3.8, 0.2, 2, 0.2, 1.7, 5.6, 10.7, 15.5, 37.3, 0.1, -0.2, 0.1, 0.2, 0.6, 0.4, -0.6, 0, 0.05, 0.61, 0.07, 9.7, 0.1, 0.9, 0.6, 73.6, 0, 0, 
9, eco3, 3, 540517, -503.6, 2204.3, 18015.1, 578.6, 163.3, 91.5, 327.3, 0.24, 159.1, 3.5, 440.3, 307.2, 8022.6, 1473.7, 2009.7, 685.4, 52.2, 89.5, 45.7, 53.3, 480, 274, 929.1, 521.2, 9.3, 6.1, 19.7, 7.2, 5.4, 3.3, 0.3, 2.5, 0.2, 2, 6.2, 11.7, 23.6, 61.4, 0.1, -0.3, 0.1, 0.3, 0.7, 0.6, -0.1, 0, 0.05, 0.92, 0.08, 0.9, 0, 1.5, 0.9, 108.1, 0, 0, 
10, eco1, 1, 457557, -7.4, 4334.1, 9634.1, 321.6, 89.9, 50.5, 164.3, 0.69, 263.1, 5.6, 236.4, 164.8, 4283.4, 770.3, 3383.9, 714, 29.9, 59.2, 30.6, 36.7, 779.3, 484.4, 1891.2, 1179.2, 4.8, 3, 11, 4, 8.7, 3.6, 0.2, 1.6, 0.2, 1.3, 5.8, 28.9, 50.6, 139, 0.1, -0.2, 0.1, 0.1, 0.8, 1.6, -1.4, 0.1, 0.05, 0.4, 0.1, 15.9, 0.1, 1.6, 0.4, 228.2, 0.01, 0, 
10, eco2, 2, 903912, -263.6, 2310, 14085.3, 471.9, 131.1, 77.1, 263.2, 0.25, 120.3, 3.6, 356.4, 248.5, 6255.7, 1139.2, 2900.6, 770.9, 43.4, 77, 39.9, 46.7, 711.3, 311.3, 970.8, 316.7, 7.5, 4.9, 15.4, 5.7, 7.4, 3.8, 0.2, 2.1, 0.2, 1.7, 6.3, 12, 15.5, 37.3, 0.1, -0.3, 0.1, 0.3, 0.8, 0.6, -0.8, 0, 0.05, 0.55, 0.06, 8.8, 0.1, 1.1, 0.7, 75.6, 0, 0, 
10, eco3, 3, 540517, -489.3, 2356.7, 18007.3, 602.5, 168.3, 98.1, 342.2, 0.21, 161.9, 4, 456.9, 318.6, 7999.7, 1470.9, 2200.7, 700.4, 54.8, 95.9, 49, 57.6, 538.5, 310.3, 986.7, 521.3, 9.7, 6.3, 19.7, 7.2, 5.8, 3.4, 0.3, 2.6, 0.2, 2.1, 6.9, 12.9, 23.1, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.2, 0, 0.05, 0.94, 0.09, 17.4, 0.1, 1.7, 1, 109.8, 0, 0, 
11, eco1, 1, 457557, -51.1, 4463.9, 9713.9, 318.6, 89.9, 52.6, 158.7, 0.71, 264.1, 5.1, 245.9, 171.7, 4318.7, 777.6, 3239.4, 694.7, 31.1, 61.9, 30.3, 36.7, 828.3, 519.5, 1936.9, 1179.2, 4.9, 3.1, 11.1, 4, 8.3, 3.5, 0.2, 1.6, 0.2, 1.3, 6.2, 30.9, 49.2, 139, 0.1, -0.2, 0, 0.1, 0.7, 1.6, -1.3, 0.1, 0.05, 0.69, 0.13, 4.4, 0, 1.4, 0.4, 229.2, 0.01, 0, 
11, eco2, 2, 903912, -210.9, 2490.7, 13206.5, 447.9, 125.3, 74.9, 240, 0.3, 121.1, 3.8, 344.3, 240.3, 5855.6, 1067.8, 3090.1, 770.3, 43.1, 78.1, 42.4, 50, 762.9, 349.2, 1061.7, 316.9, 7.2, 4.8, 14.4, 5.3, 7.9, 3.8, 0.2, 2.2, 0.2, 1.9, 6.7, 13.5, 15.5, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.6, -0.9, 0, 0.05, 1.06, 0.1, 61.5, 0.4, 1.1, 0.7, 77.8, 0, 0, 
11, eco3, 3, 540517, -483.1, 2508.3, 18168.4, 599.9, 168.4, 103.3, 333.1, 0.26, 165, 4, 471.2, 328.9, 8061, 1483.4, 2357.3, 712, 59.9, 104.3, 53.3, 62.9, 595.7, 344.7, 1046.6, 521.3, 9.9, 6.5, 19.8, 7.3, 6.2, 3.4, 0.3, 2.8, 0.3, 2.3, 7.6, 14.1, 22.7, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.3, 0, 0.05, 1.56, 0.12, 12.8, 0.1, 1.6, 1, 111.8, 0, 0, 
12, eco1, 1, 457557, -25.3, 4586.9, 9469.2, 320.1, 90.3, 51.7, 156.5, 0.7, 264.4, 5.5, 246.4, 172, 4201, 758.1, 3165.6, 677, 31.3, 62.9, 30.7, 37.2, 866.8, 554.8, 1986, 1179.3, 4.9, 3.1, 10.8, 3.9, 8.1, 3.4, 0.2, 1.7, 0.2, 1.3, 6.5, 32.8, 47.9, 139, 0.1, -0.2, 0, 0.1, 0.8, 1.8, -1.6, 0.1, 0.05, 0.55, 0.11, 15.1, 0.1, 1.5, 0.4, 230.2, 0.01, 0, 
12, eco2, 2, 903912, -208.3, 2665.6, 13091.9, 446.8, 125, 75.8, 237.6, 0.25, 123.1, 3.9, 349, 243.6, 5798.3, 1057.9, 3080.7, 758.8, 45.3, 81.1, 43, 50.9, 813.4, 384.4, 1150.7, 317.2, 7.3, 4.8, 14.3, 5.3, 7.9, 3.7, 0.2, 2.2, 0.2, 1.9, 7.2, 14.9, 15.6, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -1.1, 0, 0.05, 0.87, 0.08, 21, 0.2, 1.1, 0.7, 79.8, 0, 0, 
12, eco3, 3, 540517, -487.3, 2667, 18561, 618, 173.8, 106.2, 339.1, 0.15, 168.3, 4.2, 491, 342.9, 8226.1, 1515.1, 2443.8, 718.8, 64.3, 111.4, 56.3, 66.6, 653.9, 379, 1112.6, 521.4, 10.3, 6.8, 20.2, 7.4, 6.5, 3.5, 0.3, 3, 0.3, 2.5, 8.3, 15.3, 22.4, 61.4, 0.1, -0.3, 0.1, 0.4, 1, 0.8, -0.4, 0, 0.05, 1.3, 0.1, 0, 0, 1.8, 1, 113.7, 0, 0, 
13, eco1, 1, 457557, -12.4, 4685.6, 9428.7, 271.1, 76.4, 51.4, 149.3, 0.71, 265, 4.9, 245, 171, 4186.6, 756.4, 3065.3, 661.1, 32.7, 65.5, 31.4, 38.1, 894.2, 584.1, 2028, 1179.4, 4.9, 3.1, 10.8, 3.8, 7.9, 3.3, 0.2, 1.7, 0.2, 1.3, 6.8, 34.5, 46.9, 138.9, 0, -0.2, 0, 0.1, 0.8, 1.6, -1.5, 0, 0.05, 0.61, 0.12, 6.1, 0, 1.3, 0.4, 231.2, 0.01, 0, 
13, eco2, 2, 903912, -178.9, 2812.6, 12947.1, 387.8, 108.8, 72.5, 223.7, 0.29, 124.8, 3.4, 347.4, 242.3, 5733.4, 1046.6, 3100.2, 752.8, 47.2, 84.8, 44.7, 52.9, 853.4, 414.6, 1227.3, 317.4, 7.3, 4.8, 14.1, 5.2, 7.9, 3.7, 0.2, 2.3, 0.2, 1.9, 7.6, 16.1, 15.8, 37.3, 0.1, -0.2, 0.1, 0.2, 0.8, 0.7, -1, 0, 0.05, 0.91, 0.09, 17.8, 0.1, 0.9, 0.7, 81.8, 0, 0, 
13, eco3, 3, 540517, -403.4, 2811.3, 18789.2, 530.8, 150.3, 101.9, 328.1, 0.24, 171.3, 3.9, 497.6, 347.3, 8332.5, 1536.5, 2547.6, 730, 67.8, 118.5, 60, 70.7, 705.9, 409.9, 1173.9, 521.6, 10.5, 6.9, 20.5, 7.5, 6.7, 3.5, 0.3, 3.2, 0.3, 2.6, 9, 16.4, 22.2, 61.4, 0.1, -0.3, 0.1, 0.3, 0.9, 0.7, -0.4, 0, 0.05, 1.36, 0.11, 0, 0, 1.5, 0.9, 115.7, 0, 0, 
14, eco1, 1, 457557, 0, 4779.9, 9269.1, 272.1, 76.4, 51.4, 151.3, 0.75, 265.4, 5.2, 239.9, 167.6, 4117.5, 745.1, 2999.6, 646, 33, 67, 31.8, 38.8, 916.4, 613.1, 2070.9, 1179.5, 4.8, 3.1, 10.6, 3.8, 7.7, 3.2, 0.2, 1.7, 0.2, 1.4, 7, 36.1, 45.9, 138.9, 0.1, -0.2, 0, 0.1, 0.8, 1.8, -1.6, 0.1, 0.05, 0.55, 0.12, 7.7, 0.1, 1.3, 0.4, 232.2, 0.01, 0, 
14, eco2, 2, 903912, -161.3, 2965.3, 12798.9, 398.3, 111.1, 74.7, 228.1, 0.28, 126.5, 3.8, 344.5, 240.4, 5666.8, 1035.2, 3104.5, 743.7, 47.6, 87.1, 45, 53.7, 892, 446.3, 1309.3, 317.7, 7.2, 4.7, 14, 5.2, 7.9, 3.6, 0.2, 2.4, 0.2, 2, 8.1, 17.4, 16, 37.3, 0.1, -0.3, 0.1, 0.3, 0.9, 0.8, -1.1, 0, 0.05, 0.99, 0.09, 16, 0.1, 1.1, 0.7, 83.8, 0, 0, 
