Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1969, eco3, 3, 351.51, 9.73, 86, 289, 0, 
1970, eco3, 3, 299.79, 10.38, 68, 338, 0, 
1971, eco3, 3, 450.12, 10.73, 0, 365, 0, 
1972, eco3, 3, 307.96, 11.25, 38, 311, 0, 
1973, eco3, 3, 297.97, 11.5, 82, 307, 0, 
1974, eco3, 3, 276.82, 11.75, 76, 303, 0, 
1975, eco3, 3, 332.73, 10.92, 57, 311, 0, 
1976, eco3, 3, 513.98, 12.06, 17, 321, 0, 
1977, eco3, 3, 299.79, 10.38, 68, 338, 0, 
1978, eco3, 3, 430.34, 10.88, 23, 300, 0, 
1979, eco3, 3, 492.06, 10.52, 84, 290, 0, 
1980, eco3, 3, 337.11, 10.53, 0, 319, 0, 
1981, eco3, 3, 328.41, 11.85, 21, 297, 0, 
1982, eco3, 3, 513.98, 12.06, 17, 321, 0, 
1983, eco3, 3, 450.12, 10.73, 0, 365, 0, 
1984, eco3, 3, 297.97, 11.5, 82, 307, 0, 
1985, eco3, 3, 378.2, 9.75, 60, 294, 0, 
1986, eco3, 3, 306.82, 10.27, 33, 321, 0, 
1987, eco3, 3, 399.83, 11.1, 0, 313, 0, 
1988, eco3, 3, 333.07, 10.79, 48, 312, 0, 
1989, eco3, 3, 351.51, 9.73, 86, 289, 0, 
1990, eco3, 3, 360.42, 9.62, 106, 321, 0, 
1991, eco3, 3, 307.96, 11.25, 38, 311, 0, 
1992, eco3, 3, 347.73, 11.23, 0, 315, 0, 
1993, eco3, 3, 297.97, 11.5, 82, 307, 0, 
1994, eco3, 3, 336.86, 10.06, 55, 297, 0, 
1995, eco3, 3, 282.91, 10.27, 93, 302, 0, 
1996, eco3, 3, 346.9, 12.36, 0, 307, 0, 
1997, eco3, 3, 385.05, 11.06, 73, 305, 0, 
1998, eco3, 3, 293.4, 12.51, 0, 307, 0, 
1999, eco3, 3, 328.41, 11.85, 21, 297, 0, 
2000, eco3, 3, 351.51, 9.73, 86, 289, 0, 
